Date,BTC-USD,ETH-USD,XRP-USD,LTC-USD,ADA-USD,BNB-USD,SOL-USD,DOGE-USD,TRX-USD,LINK-USD
2025-03-23,0.02637371251978064,0.012854137531671814,0.028688617800954032,0.0014219307837437607,0.013033191994290528,,0.033525258162304256,0.030650359534798926,,0.015532264198782345
2025-03-24,0.01648128939812189,0.03701870243047964,0.0042127713177024075,0.02482856382940334,0.029948169115441684,,0.05953921817234585,0.05856401750786339,,0.044472796825117886
2025-03-25,-0.0010944748636855077,-0.007154596134771516,-8.163265310658229e-05,0.006588759223578007,0.01706433606400294,,0.018898310862946955,0.041370447993575324,,0.020285998619642028
2025-03-26,-0.00575692789062159,-0.027996431704260572,-0.041887230989447424,-0.02108721433824525,-0.02144490432843263,,-0.04490739245537967,0.02152405268316647,,-0.012253298066829005
2025-03-27,0.0033474725029797323,-0.0031896046019512735,-0.0038381214757046696,0.0034557269811509046,0.012407276212305269,,0.007397234397833659,-0.023045603909319756,,0.017551152556612586
2025-03-28,-0.03305303100348851,-0.0549380997903296,-0.058823668025045954,-0.060321465961689476,-0.044470240199046086,,-0.06693058987338772,-0.05559985573051085,,-0.08509766881659374
2025-03-29,-0.021138325739139933,-0.03697898518073863,-0.03335946283951248,-0.021996719262114117,-0.04787685420715406,,-0.03859050386587559,-0.0610549114357438,,-0.05080229027429457
2025-03-30,-0.0028709665682060113,-0.011049167351900849,0.0012174566028953283,0.007812084270157693,-0.01784289034258606,,0.002085506491021361,-0.01767955808133305,,-0.01001529199461726
2025-03-31,0.0018717606060929413,0.008111712164979735,-0.02247923724901014,-0.037391956615449806,0.0009073038577952818,,-0.0020855064910212592,0.00048033624460022597,,0.006762054374923171
2025-04-01,0.03143939655959938,0.044598983595311927,0.023414734768005232,0.01863407954489301,0.023157828782118205,,0.01711620816965592,0.04334716663483352,,0.03928337532728049
2025-04-02,-0.03197555970953129,-0.05971237066704365,-0.05546299285549261,-0.035780483688308704,-0.05635079613788215,,-0.07615625021996578,-0.06023669913748999,,-0.0847354158364769
2025-04-03,0.008260722880323671,0.011996621364937031,0.01976871149940971,0.02303690623916371,0.01627312159884238,,-0.002387857180994669,-0.00950781583476964,,-0.0005426567054364329
2025-04-04,0.008211883115587725,1.6516413186197966e-05,0.03133677182551733,0.01144095425589182,0.014650040742165228,,0.04686924674794949,0.05392772569254594,,0.0035606508708017678
