Date,BTC-USD,ETH-USD,XRP-USD,LTC-USD,ADA-USD,BNB-USD,SOL-USD,DOGE-USD,TRX-USD,LINK-USD
2018-01-02,0.0925892597121414,0.13514465974787557,0.03689715135555497,0.11007621068836916,0.07140196420217546,0.049065164712267885,,0.02614527268554805,0.42005331423073133,-0.08511074916045083
2018-01-03,0.014505086054969111,0.08480341627994366,0.22451146791948895,-0.041183220446666786,0.32179642163150723,0.07602690100173286,,0.01895536488420245,0.18533125312476822,0.011004770843404675
2018-01-04,0.02585842824803167,0.018730361673503358,0.028964244889930102,-0.016428103354674286,0.03141863102381056,-0.03433853150308194,,0.03417329705511185,0.7866674406256781,0.3681923243269204
2018-01-05,0.11094452953729485,0.016979703746571467,-0.047378544523011636,0.03220963673152922,-0.10850597356341396,0.4817919113753877,,0.23239144044097299,0.058733982765573386,-0.08132167481592109
2018-01-06,0.005578376143830052,0.043117478521551726,0.014736489731865322,0.1733514544473775,0.027229122780561037,0.4224809044597564,,0.20014753386704254,-0.23252177111549235,0.1587083113765588
2018-01-07,-0.061740689989334026,0.10167986398366087,0.08777249548780147,-0.027366908259326785,-0.018304094016724448,-0.19878516574121957,,0.13950152697536466,0.13296556694065176,0.17774785202154253
2018-01-08,-0.08267549955484522,-0.004031820642391285,-0.3186081009245801,-0.1202739522299665,-0.1149539191982225,-0.021448465000816284,,-0.1273307210055395,-0.2727563492591016,0.08074603123904354
2018-01-09,-0.03861992220665626,0.12368134760985788,-0.1558348948558282,-0.03471310298136183,-0.09841257203438876,-0.047614029877291804,,-0.11429961380258155,-0.1972662671968975,-0.11451030377162395
2018-01-10,0.025562164635524225,-0.034375534046981966,-0.06225666650396081,0.013992662313571623,-0.026896934241874525,-0.001206801243390784,,-0.023981248808213302,0.03752186067215732,-0.0327461107273832
2018-01-11,-0.11058116741362263,-0.083748920321997,-0.012288393495455827,-0.08821182639750166,-0.14158825881897166,0.19061233965247523,,-0.13311711838646767,-0.17200852951203013,-0.16259169156272216
2018-01-12,0.04198319183702074,0.09749359549276614,0.04629240168876254,0.03213340411824904,0.2652345506051417,0.058763630214433066,,0.1296000350422884,-0.0020373228018128195,0.03999784566221907
2018-01-13,0.02678987830152579,0.0923784720847535,-0.010766357846834775,0.09012055817517457,-0.01502475921295883,-0.006378842804363422,,-0.0025307389418289788,-0.05497548593459521,0.04615294189869867
2018-01-14,-0.04182295922437423,-0.021461543929788246,-0.08254951159806487,-0.08247012489633353,-0.09716205478464723,-0.06507744632264785,,-0.10849669421774065,-0.19498554531468598,-0.08564603382348422
2018-01-15,0.0034647868456980165,-0.056320788275874584,-0.10437055737572323,-0.025034771983900157,-0.029954530575883865,-0.06013415910352671,,-0.17003849928877554,-0.11338429334446244,-0.14124583827637305
2018-01-16,-0.18458172530715175,-0.2038312843512961,-0.3519753367175448,-0.21186701537018132,-0.21734315283762723,-0.34242093879797947,,-0.3680291941363057,-0.32871844098689285,-0.1486507932314957
2018-01-17,-0.02662523913776235,-0.038148810498464185,0.10235916465360834,-0.009683958340256007,0.004155827844090661,0.022161374317488863,,0.11429152589987868,0.3277799603387505,-0.07951333288513422
2018-01-18,0.025266707476315743,0.021487982757907597,0.20063454146886683,0.03332824062107983,0.04770857730218115,0.005420671774428751,,0.041114882285787614,0.0952344309062518,0.0632230490534581
2018-01-19,0.011480784055017625,0.002717524518743902,-0.028287225230889945,0.0006583648182312518,-0.014263787920802146,0.045194378928721246,,-0.012373930311298359,-0.032750104020226094,0.08826417852561416
2018-01-20,0.10552244967375776,0.1058752964251322,0.01697438623494756,0.08943979693234322,0.08401357409933925,0.08032993072824293,,0.07074460339168025,0.056768429532325394,0.4054179602994454
